1,"Participant 70","Inconsistant","Target 1 Raw Latency",749,1747,1092,1217,1076,1389,1388,1341,2340,1778,1030,2215,999,1591,1670,1888,1076,1342,1092,1217,858,1232,1466,1935,967,1326,1404,1732,1201,1420,1404,1684
1,"Participant 70","Inconsistant","Target 2 Raw Latency",1186,1747,1248,1248,1061,1732,1311,1467,1030,983,1419,1466,2356,1903,1170,1732,1544,1888,1529,1170,1107,1045,2106,1310,1061,3073,1654,967,1310,2012,1357,1419
1,"Participant 70","Inconsistant","Target 3 Raw Latency",874,1576,1280,1232,936,1872,3962,1107,2169,1497,998,1217,1654,2309,1326,1528,1029,2418,1560,1903,1981,2589,1201,1482,1560,1372,1030,1264,1420,1482,1419,1217
1,"Participant 70","Inconsistant","Target 4 Raw Latency",1061,1529,1139,1170,1061,1591,1607,1669,1108,1201,1341,1873,936,2730,1295,1294,1747,1170,2340,1529,1310,2776,2434,1498,1201,1606,967,1248,1529,1545,1420,1514
1,"Participant 70","Inconsistant","Target 5 Raw Latency",1763,1747,2028,1155,1685,1420,1154,1560,968,1341,1310,1544,1108,3447,3744,1233,1342,1326,2122,4056,5148,2559,1575,998,1919,1154,1326,1092,2605,1482,1607,1607
1,"Participant 70","Inconsistant","Target 6 Raw Latency",1966,1436,1311,1014,2512,1170,1685,921,1030,1170,1451,1669,1279,1357,1264,1498,1264,1684,1701,1123,1185,1825,1638,2621,3432,1451,3416,1388,1513,1950,1295,1139
1,"Participant 70","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 70","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 70","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 70","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 70","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 70","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 70","Inconsistant","Target 1 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 70","Inconsistant","Target 2 Accuracy",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Wrong","Wrong","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 70","Inconsistant","Target 3 Accuracy",,"Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct",,,"Correct",,"Wrong","Correct","Correct","Correct","Correct",,"Correct",,,"Correct",,"Correct","Wrong","Correct","Correct","Correct",,
1,"Participant 70","Inconsistant","Target 4 Accuracy","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct"
1,"Participant 70","Inconsistant","Target 5 Accuracy","Correct",,,,"Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Wrong","Correct","Correct",,,"Correct","Correct",,,"Correct","Correct","Correct",,,,"Correct",,"Correct","Correct"
1,"Participant 70","Inconsistant","Target 6 Accuracy",,,"Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct",,"Correct","Correct",,,"Correct","Wrong","Correct",,,"Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct"
1,"Participant 70","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 70","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 70","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 70","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 70","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 70","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
