1,"Participant 140","Inconsistant","Target 1 Raw Latency",1123,1513,1248,1826,1373,4165,1747,1560,1326,2558,1950,1778,1544,1622,1763,2121,1498,2449,1404,2215,3011,2356,2480,4961,1154,1138,1232,2246,952,1669,1232,1560
1,"Participant 140","Inconsistant","Target 2 Raw Latency",1155,1778,2558,1467,2137,2200,3338,2262,1186,1623,1669,1809,1623,1981,1451,2246,1186,2106,1513,1279,1825,2200,1528,1498,1264,1451,1576,1404,1809,1903,1341,1419
1,"Participant 140","Inconsistant","Target 3 Raw Latency",1326,1576,1467,2761,1373,2137,1841,3245,1232,1763,1420,1981,1638,1233,1482,1435,982,1951,1248,1264,1653,1076,2293,1763,1216,1497,1857,1451,1467,1872,1404,1248
1,"Participant 140","Inconsistant","Target 4 Raw Latency",1560,2387,1965,1186,1997,1904,1482,1623,1123,1763,1622,1123,3931,1638,3183,2964,2060,2184,1622,1404,1045,1263,1935,1606,1061,1419,1482,2355,1077,2776,2122,1591
1,"Participant 140","Inconsistant","Target 5 Raw Latency",1170,1544,1201,1357,1014,1903,1076,1092,2137,1575,1482,1201,1217,1841,3993,1825,968,1872,1701,1233,1638,2137,1825,3370,1170,1107,1310,2356,1092,1966,1701,1342
1,"Participant 140","Inconsistant","Target 6 Raw Latency",1622,1966,1747,2543,1232,2792,3042,1373,1201,1513,1654,2606,1762,2434,1919,1809,1482,1155,1186,1123,1903,2012,1232,4633,1248,1202,1388,2246,1123,1903,1295,1092
1,"Participant 140","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 140","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 140","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 140","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 140","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 140","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 140","Inconsistant","Target 1 Accuracy",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct"
1,"Participant 140","Inconsistant","Target 2 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct",,"Correct",,"Correct",
1,"Participant 140","Inconsistant","Target 3 Accuracy","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct"
1,"Participant 140","Inconsistant","Target 4 Accuracy",,,"Correct","Correct",,"Wrong","Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,,,"Correct","Wrong",,"Correct","Correct",
1,"Participant 140","Inconsistant","Target 5 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Wrong","Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 140","Inconsistant","Target 6 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Wrong",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Wrong",,"Correct","Wrong","Correct","Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 140","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 140","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 140","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 140","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 140","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 140","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
