1,"Participant 50","Inconsistant","Target 1 Raw Latency",1077,1731,1498,2433,1358,2543,1857,1513,1357,1670,2637,1591,2277,2044,2059,2667,1373,1435,1388,4478,1560,1576,1591,1762,1888,1638,1482,3557,1358,1684,1155,2683
1,"Participant 50","Inconsistant","Target 2 Raw Latency",1123,1654,1763,1482,1872,3011,1903,4899,1466,1420,1466,2652,1965,1950,2122,2028,1482,1622,1638,1529,1529,2215,2106,2777,1326,1653,1498,1467,1326,5211,1919,1466
1,"Participant 50","Inconsistant","Target 3 Raw Latency",1826,2215,2168,1810,1560,2824,1482,1623,1529,2137,1358,2029,1483,1684,3728,1591,1264,1326,1436,3323,1545,1482,1685,1513,1264,2184,1545,2917,1435,1638,4384,1264
1,"Participant 50","Inconsistant","Target 4 Raw Latency",1248,1576,1154,1810,1404,2948,1310,1623,1263,1232,2074,2262,1529,1498,1373,3994,1404,1389,1482,2059,1280,2091,1263,1435,1154,1981,1404,2699,1732,1263,4258,1420
1,"Participant 50","Inconsistant","Target 5 Raw Latency",1513,1623,1482,1326,1607,1810,1716,1857,1498,1763,2044,1248,1529,2496,1638,2668,2855,1606,1389,1529,1966,1482,2762,1576,1560,1544,1529,1420,1139,1669,1826,1872
1,"Participant 50","Inconsistant","Target 6 Raw Latency",1794,3026,1825,1451,1482,2840,2605,2230,2184,2215,2153,1404,1732,1950,2199,1904,1435,1482,3495,2293,1357,1997,1623,1513,1436,1654,1404,1248,2636,2106,1435,2823
1,"Participant 50","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 50","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 50","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 50","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 50","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 50","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 50","Inconsistant","Target 1 Accuracy","Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct",,,"Correct","Wrong",,,"Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct"
1,"Participant 50","Inconsistant","Target 2 Accuracy",,"Correct","Correct",,"Correct","Correct",,,"Correct",,,"Correct",,"Correct","Correct","Wrong","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,
1,"Participant 50","Inconsistant","Target 3 Accuracy","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",
1,"Participant 50","Inconsistant","Target 4 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct"
1,"Participant 50","Inconsistant","Target 5 Accuracy","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct"
1,"Participant 50","Inconsistant","Target 6 Accuracy",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Wrong",,"Wrong","Correct","Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 50","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 50","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 50","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 50","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 50","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 50","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
