1,"Participant 160","Inconsistant","Target 1 Raw Latency",1154,1154,2434,1513,1653,3838,2559,1950,1638,2418,2028,1435,1669,1794,1389,2824,1045,3729,1201,2246,2168,1685,2480,1810,1529,2184,1419,1513,1357,2184,1997,1700
1,"Participant 160","Inconsistant","Target 2 Raw Latency",1825,2043,1372,3541,2215,1638,1996,1466,1966,1435,1497,1591,1732,1872,2418,4056,2012,1747,1357,1217,1747,3728,2465,1965,2216,1372,1638,1373,1576,1498,2200,1669
1,"Participant 160","Inconsistant","Target 3 Raw Latency",1950,1528,1419,1841,1638,1701,2621,1404,1592,1997,1466,1419,1545,1887,1981,1482,2294,1872,1545,1529,1950,1701,3791,2153,1154,1326,3323,1638,2137,2714,1544,1653
1,"Participant 160","Inconsistant","Target 4 Raw Latency",1748,2075,1763,1700,1529,1856,1982,1685,1295,1279,2387,2668,1373,2808,1840,4587,1201,1513,1513,1544,2698,1747,1794,1685,1732,1466,1279,1404,1669,3666,1685,1778
1,"Participant 160","Inconsistant","Target 5 Raw Latency",2153,1591,2402,2964,1825,2823,2964,1887,2839,2028,2121,2371,1716,3822,1763,1841,1451,2106,1248,1154,1560,2184,3432,2558,4025,1357,1372,1607,2683,1872,1716,1451
1,"Participant 160","Inconsistant","Target 6 Raw Latency",1404,2590,1404,3229,2028,2558,2153,2153,1311,2293,1358,1560,1607,2527,3541,2122,4773,1591,1544,1856,2028,2012,2558,1716,2403,1279,1466,1482,1435,2308,1747,2262
1,"Participant 160","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 160","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 160","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 160","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 160","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 160","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 160","Inconsistant","Target 1 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 160","Inconsistant","Target 2 Accuracy",,"Correct",,"Wrong","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 160","Inconsistant","Target 3 Accuracy","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Wrong","Correct",,"Correct",,"Wrong","Correct","Correct","Correct",,"Correct",,,,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 160","Inconsistant","Target 4 Accuracy","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct",,,,"Correct","Correct","Correct","Wrong","Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 160","Inconsistant","Target 5 Accuracy",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct"
1,"Participant 160","Inconsistant","Target 6 Accuracy","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 160","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 160","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 160","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 160","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 160","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 160","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
