1,"Participant 85","Consistant","Target 1 Raw Latency",1576,2496,1591,1295,1233,2902,1935,2886,936,1685,2231,1560,1498,4056,1794,2356,1248,1201,1326,1731,1778,3448,1310,3806,1107,2371,1903,1373,1420,2964,1498,1576
1,"Participant 85","Consistant","Target 2 Raw Latency",1451,3432,1466,1575,1466,1747,2184,1872,1700,2215,1528,1451,2855,2823,1513,1419,1747,1732,1560,1435,1373,1576,3291,2215,1201,1435,1436,3479,1451,1295,1528,2605
1,"Participant 85","Consistant","Target 3 Raw Latency",1092,1201,1732,1669,1560,1466,2355,2371,1934,4212,1623,1326,1934,1544,1731,4212,1185,1513,1763,1903,1919,1576,1778,3182,1154,2511,2028,1420,1482,1420,1685,1342
1,"Participant 85","Consistant","Target 4 Raw Latency",2184,1887,1326,2028,1684,3900,1950,1763,1841,1966,1295,1809,2075,3089,1794,3057,1201,1607,1435,2122,1435,1778,1358,2870,2215,2683,1560,1528,1514,1669,1404,3932
1,"Participant 85","Consistant","Target 5 Raw Latency",1435,1654,1420,1513,1264,2450,1669,3105,2169,1700,1576,1529,1497,1357,1794,2371,1029,1731,1544,2699,1216,1342,3775,2012,1731,2402,1560,1451,1232,2387,1544,3058
1,"Participant 85","Consistant","Target 6 Raw Latency",1560,2668,1607,1638,1186,1592,1435,2590,1373,2324,1513,2402,1575,1700,2355,2044,1186,1825,3229,1341,1622,1482,1529,2122,2402,1186,1701,1389,2653,1919,1716,1935
1,"Participant 85","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 85","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 85","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 85","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 85","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 85","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 85","Consistant","Target 1 Accuracy","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct"
1,"Participant 85","Consistant","Target 2 Accuracy","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Wrong","Correct","Correct",,"Correct"
1,"Participant 85","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,"Correct","Wrong","Correct",,"Correct",,"Correct",,,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 85","Consistant","Target 4 Accuracy","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct"
1,"Participant 85","Consistant","Target 5 Accuracy",,"Correct",,"Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct"
1,"Participant 85","Consistant","Target 6 Accuracy","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong"
1,"Participant 85","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 85","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 85","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 85","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 85","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 85","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
