1,"Participant 95","Consistant","Target 1 Raw Latency",1779,1388,1810,1076,1295,1076,1982,1123,1419,1326,1529,2044,1513,1529,1529,1451,2294,1435,2060,1186,1326,1513,2980,1685,1326,1872,1669,1155,1186,2121,1420,2184
1,"Participant 95","Consistant","Target 2 Raw Latency",1607,1498,1358,1591,2106,1155,1622,1513,1139,1903,1966,1404,1232,1654,1435,2152,1716,1669,1420,1435,3276,2371,2558,1872,1373,2231,1498,1108,2043,1981,1435,1388
1,"Participant 95","Consistant","Target 3 Raw Latency",1264,2324,1856,1264,2715,1748,1731,1935,1170,1950,1903,1591,1544,1638,1482,1513,1185,1154,1155,1684,4321,2012,1966,2683,1404,1934,1747,2262,2262,1669,1857,2418
1,"Participant 95","Consistant","Target 4 Raw Latency",1248,1747,1747,1513,1264,2777,1872,1716,1232,1294,2106,1295,1139,2246,1934,2480,1654,1529,1544,1264,1107,2200,3322,1373,1966,3416,2574,1155,1342,1623,1045,1435
1,"Participant 95","Consistant","Target 5 Raw Latency",1326,1888,1591,1731,1357,1716,1731,1576,1248,1544,1888,1186,1810,1326,1170,1560,1560,2871,1685,2839,1373,1794,1903,2028,1435,1638,1404,1607,1560,1155,1841,2262
1,"Participant 95","Consistant","Target 6 Raw Latency",1139,1482,1341,1904,1576,1888,1841,1404,1263,1607,1435,1966,1280,1436,1311,1966,1263,1076,1295,1545,1232,1872,4368,1965,1716,2637,1653,1482,1310,1982,1904,2480
1,"Participant 95","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 95","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 95","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 95","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 95","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 95","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 95","Consistant","Target 1 Accuracy","Correct",,,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Wrong","Correct","Correct",,,"Correct","Correct","Correct",,"Correct"
1,"Participant 95","Consistant","Target 2 Accuracy",,"Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct",
1,"Participant 95","Consistant","Target 3 Accuracy",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,,"Correct","Correct","Wrong","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 95","Consistant","Target 4 Accuracy","Correct",,"Correct",,"Correct",,,"Correct","Correct","Correct",,,"Correct",,"Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",,,"Correct"
1,"Participant 95","Consistant","Target 5 Accuracy",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct",,,"Wrong",,"Correct","Correct","Correct","Correct","Correct","Correct",
1,"Participant 95","Consistant","Target 6 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct",,,,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",
1,"Participant 95","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 95","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 95","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 95","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 95","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 95","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
