1,"Participant 80","Inconsistant","Target 1 Raw Latency",2184,1638,1045,2450,1872,1685,1092,1591,2216,1092,1357,1825,1918,1450,1201,2418,1107,1747,1311,1123,1357,1467,1294,3884,1170,1232,2324,1638,1170,2387,1482,3307
1,"Participant 80","Inconsistant","Target 2 Raw Latency",1170,1077,2199,1810,2949,3588,2730,2528,749,1778,1029,2402,1264,1794,16536,1794,1482,1295,1326,1919,2465,1061,1794,3261,905,1591,1451,4353,5070,3869,3042,3120
1,"Participant 80","Inconsistant","Target 3 Raw Latency",1794,2776,1872,2527,1513,1279,1294,7285,1170,2995,1466,3619,1154,1950,1498,2542,1404,1638,2215,2542,1233,6989,4041,1419,1061,1731,2434,1217,1420,1700,2372,1513
1,"Participant 80","Inconsistant","Target 4 Raw Latency",1077,1154,1170,1294,2715,2871,1404,1950,2387,2215,1388,2262,983,3837,1607,1965,1419,2543,2590,2886,1108,3308,1779,1435,1014,1763,1404,7145,2278,2340,968,1794
1,"Participant 80","Inconsistant","Target 5 Raw Latency",1061,2496,1498,1280,1482,2122,1997,1342,1762,1451,1264,1280,3588,1279,1217,1326,1060,1217,1232,1576,2060,1295,1809,1482,983,1342,1435,2278,1170,7254,2013,1279
1,"Participant 80","Inconsistant","Target 6 Raw Latency",998,4415,2371,1732,1935,1591,2013,1108,1435,1186,1264,1060,1466,3791,2465,1264,1030,1435,3355,1014,1420,1888,1358,2262,1326,1341,1342,1684,2012,2247,1295,1778
1,"Participant 80","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 80","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 80","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 80","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 80","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 80","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 80","Inconsistant","Target 1 Accuracy",,,"Correct","Wrong","Correct","Wrong","Correct","Wrong","Correct",,,"Correct","Correct","Correct","Correct","Wrong","Correct",,,"Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Wrong","Correct","Wrong"
1,"Participant 80","Inconsistant","Target 2 Accuracy","Correct",,,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct",,"Correct","Correct","Correct"
1,"Participant 80","Inconsistant","Target 3 Accuracy",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Wrong","Wrong",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Wrong","Correct","Wrong"
1,"Participant 80","Inconsistant","Target 4 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 80","Inconsistant","Target 5 Accuracy","Correct",,,"Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct",,,"Correct",,"Correct","Correct","Wrong",,"Correct","Correct",,"Correct",,,"Correct","Correct","Correct",,"Correct"
1,"Participant 80","Inconsistant","Target 6 Accuracy",,"Wrong","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct",,"Correct",,"Correct","Correct"
1,"Participant 80","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 80","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 80","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 80","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 80","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 80","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
