1,"Participant 115","Consistant","Target 1 Raw Latency",1872,2199,1263,1747,1233,2137,3790,1233,1014,1232,1248,1060,1092,1233,1810,1716,1388,2402,1373,1311,1513,1826,1669,1373,1451,1170,1497,1607,1232,1155,1201,1669
1,"Participant 115","Consistant","Target 2 Raw Latency",1139,2060,2637,1342,1513,936,1185,1654,1092,1763,1295,1747,1061,1825,1778,1154,1155,2605,3307,1326,1638,1732,1123,1560,1357,1217,1669,1311,1248,1544,1591,2870
1,"Participant 115","Consistant","Target 3 Raw Latency",1279,1497,2340,1498,2106,2418,1358,1342,1139,2309,1232,1092,1435,1217,2184,1404,1264,1124,2168,1545,1482,1419,1560,1248,1326,1731,1467,1280,1248,1560,1248,1154
1,"Participant 115","Consistant","Target 4 Raw Latency",1638,1513,2293,1186,1919,3635,1467,3448,1060,1560,1029,2153,2309,1077,1326,1966,921,1794,1419,1732,2138,1435,1560,1450,1264,2075,1310,1201,1155,1934,2184,1560
1,"Participant 115","Consistant","Target 5 Raw Latency",1279,1840,1388,1373,1030,2246,3213,1576,1217,1763,1950,2449,2075,1389,1170,1887,2121,1716,1185,1809,1732,1825,1607,1186,1061,2636,1451,1342,1201,1622,2184,1342
1,"Participant 115","Consistant","Target 6 Raw Latency",1030,1389,1155,1232,999,1638,1607,1903,1544,1295,1232,1670,1903,2356,1638,2418,1279,1341,1139,1450,1419,1514,1451,1186,1170,1513,2979,1139,1077,2308,1498,2621
1,"Participant 115","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 115","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 115","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 115","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 115","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 115","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 115","Consistant","Target 1 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Wrong",,"Correct",,"Correct","Correct",,,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 115","Consistant","Target 2 Accuracy","Correct","Correct","Wrong","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 115","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct"
1,"Participant 115","Consistant","Target 4 Accuracy","Correct",,"Correct","Correct","Correct","Wrong","Correct","Correct",,"Correct",,"Wrong","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 115","Consistant","Target 5 Accuracy",,"Correct","Correct","Correct",,"Wrong","Correct",,"Correct","Wrong",,"Correct","Wrong",,"Correct",,"Correct","Wrong",,"Wrong","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",
1,"Participant 115","Consistant","Target 6 Accuracy","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 115","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 115","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 115","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 115","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 115","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 115","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
