1,"Participant 130","Inconsistant","Target 1 Raw Latency",999,858,889,1092,1482,1482,1357,1700,827,1139,1014,1389,1123,1248,1606,1327,1076,1061,1155,968,967,1279,983,1123,920,1108,1372,983,967,1466,1030,1170
1,"Participant 130","Inconsistant","Target 2 Raw Latency",998,1264,1029,1139,1591,1544,1170,3588,827,936,1357,1216,1451,1466,1591,1295,889,968,1763,1217,1248,1311,1498,1295,1170,1280,1124,1233,936,1810,1232,1217
1,"Participant 130","Inconsistant","Target 3 Raw Latency",686,1139,1357,1232,1232,3619,1763,1763,1045,1045,1576,1077,1123,2028,1154,1295,983,1607,1029,998,1232,1654,2371,1029,1061,1217,1372,1155,983,982,1014,1030
1,"Participant 130","Inconsistant","Target 4 Raw Latency",1092,1217,1201,1216,1341,1544,1404,1186,796,1014,920,1263,1139,1139,1373,1123,889,999,1248,1591,1107,1123,811,998,920,2605,936,1264,1419,1123,1139,936
1,"Participant 130","Inconsistant","Target 5 Raw Latency",936,1436,1014,1030,1404,2403,1311,1435,1232,2278,1357,1030,1092,1419,1092,2371,999,1762,1201,998,1092,1357,1232,1669,1232,1138,1092,1233,1513,1311,1045,1092
1,"Participant 130","Inconsistant","Target 6 Raw Latency",1061,1139,1326,1045,1201,1030,1186,1201,1154,1514,1779,1107,1185,1216,2403,3167,889,1420,1061,920,1872,1513,1794,1030,1077,1061,1123,1045,1202,1466,999,1108
1,"Participant 130","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 130","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 130","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 130","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 130","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 130","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 130","Inconsistant","Target 1 Accuracy","Correct","Correct",,"Correct","Correct","Wrong","Correct","Wrong","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct"
1,"Participant 130","Inconsistant","Target 2 Accuracy",,,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 130","Inconsistant","Target 3 Accuracy","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct",,"Wrong","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",
1,"Participant 130","Inconsistant","Target 4 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct"
1,"Participant 130","Inconsistant","Target 5 Accuracy","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct"
1,"Participant 130","Inconsistant","Target 6 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Wrong","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 130","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 130","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 130","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 130","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 130","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 130","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
