1,"Participant 42","Consistant","Target 1 Raw Latency",4196,5038,1638,3542,2199,2090,2621,1467,1358,1903,1201,1763,1388,1232,3229,1513,1170,2496,2262,3276,1857,2090,1996,1545,1887,1279,1513,2294,982,1903,3214,1653
1,"Participant 42","Consistant","Target 2 Raw Latency",1419,2465,2855,1216,1139,1779,1716,1731,3479,3510,3853,4508,2870,1607,1419,4024,1232,1404,1388,1716,3479,3291,14087,3416,936,1435,2028,1607,1030,2262,6194,1419
1,"Participant 42","Consistant","Target 3 Raw Latency",1248,1279,2325,4196,1201,2012,1560,1841,3213,2387,1731,1592,1388,4508,1794,2215,1825,1654,7378,1186,1186,4134,1576,6224,1170,1295,5273,3214,2886,7301,2636,6708
1,"Participant 42","Consistant","Target 4 Raw Latency",1779,2340,1389,2169,1217,1295,1451,2059,1388,1778,4150,2075,1763,2761,1404,2340,1591,1700,1326,1357,1263,1295,3244,4228,1139,2668,1810,2465,2449,2277,2231,2730
1,"Participant 42","Consistant","Target 5 Raw Latency",936,4524,2481,1264,1326,4274,1778,1934,1856,1887,2449,4742,2262,1216,3932,1732,1232,3776,1794,2387,1185,1684,1981,1607,2309,1029,1872,1217,2371,3042,2200,11217
1,"Participant 42","Consistant","Target 6 Raw Latency",1513,1856,1950,1279,1887,1685,1295,1420,2075,2386,2340,1419,1014,5507,1201,3042,4524,2543,1622,2714,1622,967,10499,1934,1155,4477,1810,1279,1732,1357,3120,1233
1,"Participant 42","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 42","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 42","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 42","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 42","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 42","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 42","Consistant","Target 1 Accuracy","Correct","Correct",,,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Wrong","Correct",,"Correct","Wrong","Correct","Correct","Correct","Correct",,,"Correct",,"Correct","Correct"
1,"Participant 42","Consistant","Target 2 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",
1,"Participant 42","Consistant","Target 3 Accuracy",,,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct",,,"Wrong","Correct",,"Correct","Correct","Correct"
1,"Participant 42","Consistant","Target 4 Accuracy","Correct","Correct","Wrong","Correct",,"Correct","Correct",,,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Wrong",
1,"Participant 42","Consistant","Target 5 Accuracy","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Wrong",,,"Correct","Correct",,"Wrong","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct"
1,"Participant 42","Consistant","Target 6 Accuracy","Correct",,"Correct",,,"Wrong",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct",,"Wrong"
1,"Participant 42","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 42","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 42","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 42","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 42","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 42","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
