1,"Participant 137","Inconsistant","Target 1 Raw Latency",1123,1997,1154,1373,1825,1809,1872,3214,1014,1045,1996,1545,1654,1700,1654,1857,967,1154,1341,1123,1123,1279,1232,1497,1310,1732,889,2902,1170,1154,1404,1779
1,"Participant 137","Inconsistant","Target 2 Raw Latency",1295,1560,1670,1451,1778,1934,1560,2215,983,2465,999,1232,1217,1233,967,1435,1763,1575,1373,1451,2543,1404,2871,1638,1216,1295,952,1030,1077,1232,1388,2621
1,"Participant 137","Inconsistant","Target 3 Raw Latency",1014,1404,1279,1092,2870,1685,1529,2574,1326,1576,1139,1154,1513,1700,1232,1684,1045,1466,1591,1201,1123,1264,1919,3135,1373,1466,1170,1092,1560,1201,1607,1029
1,"Participant 137","Inconsistant","Target 4 Raw Latency",1544,1295,1232,1373,2309,1451,1591,2543,1123,1357,1358,1295,1107,1888,1357,1826,717,1575,2418,2121,1544,1295,2777,1497,1264,1264,952,1201,983,1732,1201,1279
1,"Participant 137","Inconsistant","Target 5 Raw Latency",1341,1669,1045,1185,1482,1763,1622,2137,1107,1311,1404,1592,1357,1919,1139,1669,827,1810,1233,1295,2808,1264,967,1217,1154,1684,1279,1092,1248,1638,1264,1482
1,"Participant 137","Inconsistant","Target 6 Raw Latency",1107,1856,1872,1326,4166,1919,2138,2121,1451,1591,1342,1217,2043,1326,1341,1404,999,1482,1467,1373,1279,1918,1919,1310,1280,1311,1201,983,1451,1311,1498,1560
1,"Participant 137","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 137","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 137","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 137","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 137","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 137","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 137","Inconsistant","Target 1 Accuracy","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Wrong","Correct",,"Correct","Correct",,"Wrong",,"Correct"
1,"Participant 137","Inconsistant","Target 2 Accuracy","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 137","Inconsistant","Target 3 Accuracy",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,"Correct",,,,"Correct","Correct","Correct",,"Correct","Correct"
1,"Participant 137","Inconsistant","Target 4 Accuracy",,"Wrong","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,,"Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",
1,"Participant 137","Inconsistant","Target 5 Accuracy","Correct","Correct",,,"Correct","Correct",,"Correct",,"Correct","Correct",,"Correct",,,"Correct","Correct","Correct",,,,"Correct",,"Correct","Correct","Correct",,,"Correct","Correct",,"Correct"
1,"Participant 137","Inconsistant","Target 6 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 137","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 137","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 137","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 137","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 137","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 137","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
