1,"Participant 117","Inconsistant","Target 1 Raw Latency",1217,1482,1560,1295,1326,4727,2403,1747,1311,1420,1685,1498,1794,2246,3541,1591,1451,1700,1326,1498,1529,2652,2153,1700,1232,2386,1373,2777,2013,2652,1919,1934
1,"Participant 117","Inconsistant","Target 2 Raw Latency",1966,1903,3183,1263,1311,1903,4134,1872,1825,1888,1607,3136,1857,1794,1529,5117,5476,1217,1623,1513,1263,2199,1778,2106,3728,2294,1950,1654,2481,1591,1545,2637
1,"Participant 117","Inconsistant","Target 3 Raw Latency",1731,2792,2277,1638,3073,3245,2465,1919,1654,2543,2028,1997,1825,1825,1950,1966,1763,1919,1419,1482,2277,1950,2091,4665,2137,1638,1575,2293,1575,3120,2543,2917
1,"Participant 117","Inconsistant","Target 4 Raw Latency",1436,2574,1482,1762,1622,2589,1560,1294,2667,2527,2777,1903,3588,1623,2512,4056,1778,3276,8596,3464,2200,1467,1498,2122,1341,4680,1685,2324,1373,4010,2059,3323
1,"Participant 117","Inconsistant","Target 5 Raw Latency",1388,2309,2106,2278,3790,4696,2808,1466,1653,1981,1996,7379,1326,1607,1575,2559,1560,1373,1966,4337,1404,2152,1685,4212,1467,1498,1857,2730,2106,2980,2433,1779
1,"Participant 117","Inconsistant","Target 6 Raw Latency",1420,1981,2356,1607,1513,2059,1529,2620,2418,2855,2060,1981,3494,2153,2450,2979,1357,1280,1950,3666,1716,2542,1170,4196,1280,1591,3401,2496,1420,2621,1623,1934
1,"Participant 117","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 117","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 117","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 117","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 117","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 117","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 117","Inconsistant","Target 1 Accuracy","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 117","Inconsistant","Target 2 Accuracy","Correct","Correct",,"Correct","Correct",,"Wrong","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 117","Inconsistant","Target 3 Accuracy",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct"
1,"Participant 117","Inconsistant","Target 4 Accuracy","Correct","Correct","Wrong",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Wrong","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct"
1,"Participant 117","Inconsistant","Target 5 Accuracy","Correct",,"Correct",,"Correct","Wrong","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",
1,"Participant 117","Inconsistant","Target 6 Accuracy","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 117","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 117","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 117","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 117","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 117","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 117","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
