1,"Participant 57","Inconsistant","Target 1 Raw Latency",1373,2122,2013,1623,1514,2559,1357,2512,1263,1124,1826,1373,1545,1794,1451,1466,1170,1108,1108,2074,1170,1622,1263,2496,967,1778,1139,1248,1232,2746,1248,999
1,"Participant 57","Inconsistant","Target 2 Raw Latency",1419,2075,1342,2465,1950,3994,3385,1872,1295,1810,1482,2730,1638,2340,1966,1513,1357,1294,3588,1045,1701,2200,2028,1622,1435,1653,1310,1545,1560,1436,1186,1529
1,"Participant 57","Inconsistant","Target 3 Raw Latency",1638,1747,1357,1201,2683,1201,2480,1482,1279,1326,1373,1342,2137,1607,1575,2371,2028,1373,1638,1872,1076,1622,2418,1357,1404,1232,1217,1295,1576,1435,1389,1545
1,"Participant 57","Inconsistant","Target 4 Raw Latency",1467,1638,2932,1841,1216,2059,2480,2059,1747,1653,2777,1326,1935,1482,1216,2246,1326,1731,1716,2387,1888,1139,2465,1248,1092,1576,1545,1310,1498,2059,1358,2340
1,"Participant 57","Inconsistant","Target 5 Raw Latency",1280,1903,1435,1997,2465,1997,1419,2309,1342,1669,2152,1747,1513,1310,1404,1763,1061,1139,1295,1685,1498,1607,1981,2387,1295,1248,1904,1263,2090,1264,1497,1248
1,"Participant 57","Inconsistant","Target 6 Raw Latency",1591,1279,1763,1420,1311,1778,1310,1575,1263,1497,2215,1357,1341,1934,1981,1966,1544,1591,2481,2153,1794,1201,1295,2215,1124,1467,2168,1404,1841,1139,1841,1825
1,"Participant 57","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 57","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 57","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 57","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 57","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 57","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 57","Inconsistant","Target 1 Accuracy","Correct","Correct","Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 57","Inconsistant","Target 2 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct"
1,"Participant 57","Inconsistant","Target 3 Accuracy",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Wrong",,"Correct"
1,"Participant 57","Inconsistant","Target 4 Accuracy","Correct","Correct","Correct",,,,"Correct",,,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,,,"Correct",
1,"Participant 57","Inconsistant","Target 5 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 57","Inconsistant","Target 6 Accuracy","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Wrong",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 57","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 57","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 57","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 57","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 57","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 57","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
