1,"Participant 62","Consistant","Target 1 Raw Latency",1404,1498,1825,1935,1326,1373,2683,3588,1466,1919,2839,1732,1388,1934,2527,1576,1357,1436,2028,1295,1373,1341,2839,1623,1108,1513,1825,1326,1591,2106,1357,2262
1,"Participant 62","Consistant","Target 2 Raw Latency",1841,2231,1685,1670,1264,2090,1529,2044,2512,1778,1716,1326,1435,2090,1404,1653,1420,1701,1685,1826,1700,1389,2090,1669,1482,2075,1701,2230,1529,1981,1576,1950
1,"Participant 62","Consistant","Target 3 Raw Latency",1654,1342,2590,1731,1201,1263,1451,2512,1170,1435,1342,1404,1700,1232,1716,1373,1684,1591,4430,1420,3089,1623,1498,1513,1342,1077,1358,1779,1248,1217,2512,1607
1,"Participant 62","Consistant","Target 4 Raw Latency",1638,1701,1529,1529,1950,2340,1419,1263,1326,3962,1919,2060,2277,1934,2699,2324,1997,1638,1950,1622,2043,1544,1685,1513,1404,2153,1420,2247,1233,1607,1248,2980
1,"Participant 62","Consistant","Target 5 Raw Latency",1372,1747,1513,1747,2153,2277,1716,2028,1217,1918,1888,1716,2293,1466,1529,2636,1232,2075,1591,1389,3167,2324,1763,2496,1965,2231,2137,1529,1482,1669,1358,2434
1,"Participant 62","Consistant","Target 6 Raw Latency",1497,1436,2137,1482,1560,3167,1653,1576,1732,1857,1950,1232,1903,1498,1575,1778,1670,1529,1576,2403,1326,1498,1513,1388,1545,1669,2121,1294,2137,1280,1748,1373
1,"Participant 62","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 62","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 62","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 62","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 62","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 62","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 62","Consistant","Target 1 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 62","Consistant","Target 2 Accuracy",,"Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct",,"Correct",,"Correct","Correct","Correct"
1,"Participant 62","Consistant","Target 3 Accuracy","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,,"Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 62","Consistant","Target 4 Accuracy",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 62","Consistant","Target 5 Accuracy","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,,"Correct",,"Correct",,"Correct","Correct","Correct","Correct"
1,"Participant 62","Consistant","Target 6 Accuracy","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 62","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 62","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 62","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 62","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 62","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 62","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
