1,"Participant 112","Consistant","Target 1 Raw Latency",1123,1497,1576,2309,1045,1731,1108,1560,1279,1357,2294,1279,1139,1326,1232,1747,905,1295,1186,2528,1170,1107,1092,1342,936,1716,2449,1747,1138,1155,1404,2012
1,"Participant 112","Consistant","Target 2 Raw Latency",2184,1248,1575,1154,1123,1841,1311,1264,1108,1170,1404,1591,1139,1092,2543,1279,843,2277,1357,2013,1591,1045,889,967,2465,1950,1263,1076,1092,1092,1591,1123
1,"Participant 112","Consistant","Target 3 Raw Latency",1404,1700,1154,3198,1326,1435,1124,1701,952,1388,1716,1186,1450,1107,1373,1232,1030,1279,1405,1888,1310,1154,1170,1217,1201,1076,1467,1248,1295,1123,1669,1575
1,"Participant 112","Consistant","Target 4 Raw Latency",1029,1341,1606,1435,1248,2480,1341,1435,983,1404,1919,1201,1108,1076,1217,1139,905,1107,2340,1529,1341,1154,1201,1233,873,936,1155,1451,1498,999,1139,1295
1,"Participant 112","Consistant","Target 5 Raw Latency",1029,1762,1170,1388,1919,1295,1233,1498,1139,1202,1279,1263,1388,1388,2184,2527,2153,1498,1295,1451,952,1310,1216,1185,858,1170,1497,1138,999,2933,1030,1046
1,"Participant 112","Consistant","Target 6 Raw Latency",1263,1560,1497,1326,1295,1576,1233,1248,1185,1217,1045,1217,983,3027,1264,1326,921,1342,1217,1139,1045,1155,1404,1186,967,1139,1545,1763,1029,2527,1997,1123
1,"Participant 112","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 112","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 112","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 112","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 112","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 112","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 112","Consistant","Target 1 Accuracy",,"Correct","Correct","Correct","Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Wrong","Correct","Correct","Correct",
1,"Participant 112","Consistant","Target 2 Accuracy","Correct",,,"Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct","Correct",,"Correct","Correct",,,"Correct","Correct","Correct",,,"Correct",,,"Correct","Correct"
1,"Participant 112","Consistant","Target 3 Accuracy","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct",,,"Correct","Correct","Correct"
1,"Participant 112","Consistant","Target 4 Accuracy",,"Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Wrong",,,"Correct","Correct","Correct","Correct",,"Correct",,,"Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 112","Consistant","Target 5 Accuracy","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct"
1,"Participant 112","Consistant","Target 6 Accuracy",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 112","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 112","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 112","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 112","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 112","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 112","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
