1,"Participant 87","Inconsistant","Target 1 Raw Latency",1295,1607,1217,1045,1217,2091,1841,1857,1279,2044,2091,1217,1311,2231,1857,1763,1201,1873,1669,1467,1139,1326,1934,1373,1170,2480,1216,1606,1326,1638,1809,1061
1,"Participant 87","Inconsistant","Target 2 Raw Latency",1123,1607,1373,1248,2465,2668,1903,2589,1108,1732,1623,1545,1233,2465,1170,2199,1046,1264,1264,1404,1419,1544,1248,1123,2028,1420,1263,1653,1514,3946,983,1108
1,"Participant 87","Inconsistant","Target 3 Raw Latency",1357,1389,1529,1528,2106,1591,2137,1700,951,1420,1326,1014,1685,1732,1966,1560,1373,1404,1202,1233,1576,1342,1404,1575,2746,1872,1732,1388,1139,1217,1341,1982
1,"Participant 87","Inconsistant","Target 4 Raw Latency",1856,1232,2964,1372,2230,1716,1701,2262,1264,1357,2481,1389,1466,1560,1903,1701,4258,1404,1732,1950,1404,2169,2356,2403,2168,1965,1357,936,2746,1217,1669,1060
1,"Participant 87","Inconsistant","Target 5 Raw Latency",889,1623,2137,1045,1638,1857,2278,2309,1217,3011,1560,1451,2262,1966,1248,1685,1389,2996,2434,1248,1014,1498,1263,1310,1294,1747,1544,1326,1186,1529,1700,905
1,"Participant 87","Inconsistant","Target 6 Raw Latency",1576,2215,1155,1248,1155,1529,1904,1467,1716,1248,1310,3120,1763,1108,1341,1482,1825,1326,1451,1373,1186,1435,858,1358,1544,2121,3557,1342,1903,2028,749,1217
1,"Participant 87","Inconsistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 87","Inconsistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 87","Inconsistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 87","Inconsistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 87","Inconsistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 87","Inconsistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 87","Inconsistant","Target 1 Accuracy","Correct","Correct","Correct",,"Correct",,,"Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,,"Correct"
1,"Participant 87","Inconsistant","Target 2 Accuracy","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct"
1,"Participant 87","Inconsistant","Target 3 Accuracy","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct"
1,"Participant 87","Inconsistant","Target 4 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct",
1,"Participant 87","Inconsistant","Target 5 Accuracy","Correct",,"Wrong","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Wrong"
1,"Participant 87","Inconsistant","Target 6 Accuracy",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",
1,"Participant 87","Inconsistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 87","Inconsistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 87","Inconsistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 87","Inconsistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 87","Inconsistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 87","Inconsistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
