1,"Participant 2","Consistant","Target 1 Raw Latency",1560,1404,1560,2184,2792,4337,1638,1935,1310,2153,1482,1669,1451,2216,3011,2028,1295,1607,1482,1435,1560,1357,4244,1560,1763,1326,1373,3105,2730,2028,1357,1716
1,"Participant 2","Consistant","Target 2 Raw Latency",2496,1341,1888,4337,1638,1606,1654,1748,1404,3775,1513,1950,1529,1404,1685,2137,1404,2044,1638,2621,1654,2091,2028,1794,1294,1700,1716,1482,1731,1669,1404,1748
1,"Participant 2","Consistant","Target 3 Raw Latency",2309,2387,2730,2216,2746,2901,1545,1607,1747,1528,2293,1997,1560,2169,1716,1669,1310,1310,2028,1856,1513,1716,2855,2824,1326,2855,1560,1404,1341,1732,2823,1716
1,"Participant 2","Consistant","Target 4 Raw Latency",1794,2106,1732,1638,1732,1466,1716,1903,1326,2449,2138,3058,2153,1965,2543,1888,1342,2308,2621,1638,1388,1685,1466,2449,1451,2247,1607,1482,1482,1997,2403,2153
1,"Participant 2","Consistant","Target 5 Raw Latency",1560,2262,1654,1857,1498,2184,1575,2309,1841,1404,1701,1716,1592,1545,1857,3057,1420,1467,1623,1779,1497,2605,1669,3229,2106,2262,1607,2075,1466,2075,1545,2465
1,"Participant 2","Consistant","Target 6 Raw Latency",2215,2028,1809,1498,1778,1701,1607,2387,1794,1841,2652,1545,1466,1591,2824,1763,1622,1778,2356,2574,1794,1654,2558,1575,1763,2559,1669,2293,2231,1762,2277,1747
1,"Participant 2","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 2","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 2","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 2","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 2","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 2","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 2","Consistant","Target 1 Accuracy","Correct","Correct","Wrong",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Wrong",
1,"Participant 2","Consistant","Target 2 Accuracy","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct"
1,"Participant 2","Consistant","Target 3 Accuracy",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 2","Consistant","Target 4 Accuracy","Correct",,"Correct","Wrong",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct",
1,"Participant 2","Consistant","Target 5 Accuracy","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct"
1,"Participant 2","Consistant","Target 6 Accuracy","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 2","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 2","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 2","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 2","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 2","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 2","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
