participant,block_order,trial_designator,p_c_tt1,p_c_tt2,p_c_tt3,p_c_tt4,p_ic_tt1,p_ic_tt2,p_ic_tt3,p_ic_tt4,t1_c_tt1,t1_c_tt2,t1_c_tt3,t1_c_tt4,t1_ic_tt1,t1_ic_tt2,t1_ic_tt3,t1_ic_tt4,t2_c_tt2,t2_c_tt2,t2_c_tt3,t2_c_tt4,t2_ic_tt2,t2_ic_tt2,t2_ic_tt3,t2_ic_tt4,t3_c_tt3,t3_c_tt2,t3_c_tt3,t3_c_tt4,t3_ic_tt3,t3_ic_tt2,t3_ic_tt3,t3_ic_tt4
Participant 105,Inconsistant,Target 1 Raw Latency,1420,1498,874,2262,1155,1467,1701,1404,1263,1341,1544,1170,1435,1731,1934,1654,1310,1513,1654,1217,1139,1778,1934,2590,1388,1591,1186,1607,3713,1638,2340,1809
Participant 105,Inconsistant,Target 2 Raw Latency,1248,1856,2387,1466,2013,8502,1388,2169,1263,1311,2574,1217,1404,1451,1201,4212,2683,1232,1544,1263,1373,1716,1248,1467,1154,1201,1248,1186,1482,2855,1264,1747
Participant 105,Inconsistant,Target 3 Raw Latency,1482,2012,4664,1342,2043,3916,3292,1357,1280,1669,1591,1264,1623,2199,1529,2620,1606,1654,1607,1545,1389,2418,1622,1326,1123,1295,1513,1124,1139,1887,3853,2137
Participant 105,Inconsistant,Target 4 Raw Latency,1341,1170,1498,1233,1498,1497,1981,1295,1279,2074,2683,1919,1123,2496,1701,2683,1279,1372,1372,1638,1653,1638,1622,2995,1856,1732,1560,2449,1700,1186,1326,1248
Participant 105,Inconsistant,Target 5 Raw Latency,2511,1935,1201,1982,1513,1076,1482,1638,1762,1435,1591,1997,2980,1123,2855,1560,889,1201,1420,3932,1201,1591,2355,1045,1045,1560,1154,1575,3167,2121,1560,2091
Participant 105,Inconsistant,Target 6 Raw Latency,1607,1419,1670,1123,1295,1731,1310,2169,1295,1731,1513,2746,1185,2480,2184,2559,2247,2652,2262,1185,1201,3198,1108,2012,1498,1716,1341,2044,1264,1904,1185,1341
Participant 105,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 105,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 105,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 105,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 105,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 105,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 105,Inconsistant,Target 1 Accuracy,Correct,Wrong,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Wrong,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct
Participant 105,Inconsistant,Target 2 Accuracy,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,,Wrong,Correct
Participant 105,Inconsistant,Target 3 Accuracy,Correct,Wrong,,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,
Participant 105,Inconsistant,Target 4 Accuracy,,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Wrong,,Correct,,Correct,Correct,,,Correct,Correct,Correct
Participant 105,Inconsistant,Target 5 Accuracy,,,,Correct,Correct,Correct,Correct,Wrong,,Correct,Correct,Correct,,,Correct,Correct,Correct,Wrong,,,Correct,,Correct,,,,,Correct,Correct,Correct,Correct,Correct
Participant 105,Inconsistant,Target 6 Accuracy,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Wrong,,Correct
Participant 105,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 105,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 105,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 105,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 105,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 105,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 110,Inconsistant,Target 1 Raw Latency,1264,1123,1716,1216,1295,1326,2293,1342,1092,1607,1107,2184,1326,1280,1435,2215,1279,1747,1310,2199,1529,1357,1341,1436,998,1202,1076,1685,1373,1357,1139,1373
Participant 110,Inconsistant,Target 2 Raw Latency,2278,951,1170,1342,1092,1560,1310,1201,1186,1232,1311,1280,1092,1201,1342,2434,1560,1388,1513,1810,1342,1560,1357,2543,1513,1435,1124,1185,1498,1108,1623,1763
Participant 110,Inconsistant,Target 3 Raw Latency,1295,1170,1544,1529,2075,1279,1576,1451,1030,2730,1279,1092,1139,1606,2122,1669,1201,4899,4821,2933,1186,1404,1170,1498,1108,1233,1342,1139,1420,1965,2387,1435
Participant 110,Inconsistant,Target 4 Raw Latency,1748,1373,3900,1248,1201,2184,1357,1450,1232,1466,1404,1779,1264,2403,1513,2887,1856,1685,1342,1138,1216,1311,1295,1419,1030,1046,1654,1123,1123,1294,1592,1888
Participant 110,Inconsistant,Target 5 Raw Latency,1092,2309,1482,3744,2543,2605,1248,1404,1045,1186,1482,1201,1622,1779,1310,1748,1732,2434,1232,1451,1357,1872,1233,1435,1061,1279,1076,1373,1154,1451,1233,1373
Participant 110,Inconsistant,Target 6 Raw Latency,1201,1435,1903,1404,1560,1435,1794,1372,1092,1654,1295,1014,1123,1373,1404,1233,1341,1295,1794,1388,1357,1825,1045,1529,1170,1124,1373,1357,1545,1420,1310,2418
Participant 110,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 110,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 110,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 110,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 110,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 110,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 110,Inconsistant,Target 1 Accuracy,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,,Correct,Correct,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct
