participant,block_order,trial_designator,p_c_tt1,p_c_tt2,p_c_tt3,p_c_tt4,p_ic_tt1,p_ic_tt2,p_ic_tt3,p_ic_tt4,t1_c_tt1,t1_c_tt2,t1_c_tt3,t1_c_tt4,t1_ic_tt1,t1_ic_tt2,t1_ic_tt3,t1_ic_tt4,t2_c_tt2,t2_c_tt2,t2_c_tt3,t2_c_tt4,t2_ic_tt2,t2_ic_tt2,t2_ic_tt3,t2_ic_tt4,t3_c_tt3,t3_c_tt2,t3_c_tt3,t3_c_tt4,t3_ic_tt3,t3_ic_tt2,t3_ic_tt3,t3_ic_tt4
Participant 107,Inconsistant,Target 6 Raw Latency,1888,1310,1466,1248,1544,2200,1404,2184,1170,3838,1638,1747,2824,1997,1903,1622,1404,1607,1528,1544,2762,1654,1888,1217,1841,1170,1482,1826,5491,999,1451,2917
Participant 107,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 107,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 107,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 107,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 107,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 107,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 107,Inconsistant,Target 1 Accuracy,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct
Participant 107,Inconsistant,Target 2 Accuracy,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,
Participant 107,Inconsistant,Target 3 Accuracy,Correct,Correct,Correct,,Correct,,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Wrong,Correct,,Correct,Correct,Correct,Correct,,Correct,,,Correct
Participant 107,Inconsistant,Target 4 Accuracy,Correct,,Correct,Correct,,,Correct,Correct,Correct,Correct,,,,,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,,Correct,Correct
Participant 107,Inconsistant,Target 5 Accuracy,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Wrong,Correct,Correct
Participant 107,Inconsistant,Target 6 Accuracy,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,
Participant 107,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 107,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 107,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 107,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 107,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 107,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 112,Consistant,Target 1 Raw Latency,1123,1497,1576,2309,1045,1731,1108,1560,1279,1357,2294,1279,1139,1326,1232,1747,905,1295,1186,2528,1170,1107,1092,1342,936,1716,2449,1747,1138,1155,1404,2012
Participant 112,Consistant,Target 2 Raw Latency,2184,1248,1575,1154,1123,1841,1311,1264,1108,1170,1404,1591,1139,1092,2543,1279,843,2277,1357,2013,1591,1045,889,967,2465,1950,1263,1076,1092,1092,1591,1123
Participant 112,Consistant,Target 3 Raw Latency,1404,1700,1154,3198,1326,1435,1124,1701,952,1388,1716,1186,1450,1107,1373,1232,1030,1279,1405,1888,1310,1154,1170,1217,1201,1076,1467,1248,1295,1123,1669,1575
Participant 112,Consistant,Target 4 Raw Latency,1029,1341,1606,1435,1248,2480,1341,1435,983,1404,1919,1201,1108,1076,1217,1139,905,1107,2340,1529,1341,1154,1201,1233,873,936,1155,1451,1498,999,1139,1295
Participant 112,Consistant,Target 5 Raw Latency,1029,1762,1170,1388,1919,1295,1233,1498,1139,1202,1279,1263,1388,1388,2184,2527,2153,1498,1295,1451,952,1310,1216,1185,858,1170,1497,1138,999,2933,1030,1046
Participant 112,Consistant,Target 6 Raw Latency,1263,1560,1497,1326,1295,1576,1233,1248,1185,1217,1045,1217,983,3027,1264,1326,921,1342,1217,1139,1045,1155,1404,1186,967,1139,1545,1763,1029,2527,1997,1123
Participant 112,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 112,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 112,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 112,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 112,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 112,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 112,Consistant,Target 1 Accuracy,,Correct,Correct,Correct,Correct,Correct,Correct,,,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,,Correct,Correct,Correct,Correct,,Correct,Correct,Wrong,Correct,Correct,Correct,
Participant 112,Consistant,Target 2 Accuracy,Correct,,,Correct,,,Correct,Correct,Correct,Correct,Correct,,Correct,,,Correct,Correct,,Correct,Correct,,,Correct,Correct,Correct,,,Correct,,,Correct,Correct
Participant 112,Consistant,Target 3 Accuracy,Correct,,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,,,Correct,Correct,Correct
Participant 112,Consistant,Target 4 Accuracy,,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,Wrong,,,Correct,Correct,Correct,Correct,,Correct,,,Correct,Correct,,Correct,Correct,,Correct
Participant 112,Consistant,Target 5 Accuracy,Correct,,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,,Correct,Correct
Participant 112,Consistant,Target 6 Accuracy,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct
Participant 112,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 112,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 112,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 112,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 112,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 112,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 117,Inconsistant,Target 1 Raw Latency,1217,1482,1560,1295,1326,4727,2403,1747,1311,1420,1685,1498,1794,2246,3541,1591,1451,1700,1326,1498,1529,2652,2153,1700,1232,2386,1373,2777,2013,2652,1919,1934
Participant 117,Inconsistant,Target 2 Raw Latency,1966,1903,3183,1263,1311,1903,4134,1872,1825,1888,1607,3136,1857,1794,1529,5117,5476,1217,1623,1513,1263,2199,1778,2106,3728,2294,1950,1654,2481,1591,1545,2637
Participant 117,Inconsistant,Target 3 Raw Latency,1731,2792,2277,1638,3073,3245,2465,1919,1654,2543,2028,1997,1825,1825,1950,1966,1763,1919,1419,1482,2277,1950,2091,4665,2137,1638,1575,2293,1575,3120,2543,2917
Participant 117,Inconsistant,Target 4 Raw Latency,1436,2574,1482,1762,1622,2589,1560,1294,2667,2527,2777,1903,3588,1623,2512,4056,1778,3276,8596,3464,2200,1467,1498,2122,1341,4680,1685,2324,1373,4010,2059,3323
Participant 117,Inconsistant,Target 5 Raw Latency,1388,2309,2106,2278,3790,4696,2808,1466,1653,1981,1996,7379,1326,1607,1575,2559,1560,1373,1966,4337,1404,2152,1685,4212,1467,1498,1857,2730,2106,2980,2433,1779
Participant 117,Inconsistant,Target 6 Raw Latency,1420,1981,2356,1607,1513,2059,1529,2620,2418,2855,2060,1981,3494,2153,2450,2979,1357,1280,1950,3666,1716,2542,1170,4196,1280,1591,3401,2496,1420,2621,1623,1934
Participant 117,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 117,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 117,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 117,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 117,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 117,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 117,Inconsistant,Target 1 Accuracy,Correct,Correct,,Correct,Correct,,Correct,Correct,,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,,Correct,Correct,,Correct,Correct
Participant 117,Inconsistant,Target 2 Accuracy,Correct,Correct,,Correct,Correct,,Wrong,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct
Participant 117,Inconsistant,Target 3 Accuracy,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct
Participant 117,Inconsistant,Target 4 Accuracy,Correct,Correct,Wrong,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Wrong,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct
Participant 117,Inconsistant,Target 5 Accuracy,Correct,,Correct,,Correct,Wrong,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,
Participant 117,Inconsistant,Target 6 Accuracy,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct
Participant 117,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 117,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 117,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 117,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 117,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 117,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 12,Consistant,Target 1 Raw Latency,982,1139,967,983,2059,1279,921,1435,858,1014,1529,1077,905,1092,936,1107,1108,1014,1124,1014,1014,1185,1107,967,952,1123,1014,936,1263,983,1030,1202
Participant 12,Consistant,Target 2 Raw Latency,1108,1092,1076,1123,1046,1279,1810,1061,1076,999,1014,983,1124,2449,1045,1108,780,843,1155,936,905,998,890,920,967,1575,936,890,1045,1045,1061,1357
Participant 12,Consistant,Target 3 Raw Latency,1341,1014,1186,936,936,1202,890,1123,999,1046,999,1030,1014,967,1202,1045,826,1170,1061,1186,1014,983,858,1139,811,968,1233,1264,889,1030,936,983
Participant 12,Consistant,Target 4 Raw Latency,936,1701,920,998,1077,1498,983,1092,1357,967,1061,967,3681,1279,983,967,827,1389,858,936,920,998,1498,1326,952,1061,1108,1030,904,983,1014,1045
Participant 12,Consistant,Target 5 Raw Latency,951,1279,1341,968,1263,1279,1076,1030,1014,1060,1061,1030,1108,1061,952,1061,983,905,1170,983,1248,1295,936,967,780,1841,1014,890,921,1077,968,982
Participant 12,Consistant,Target 6 Raw Latency,842,983,1466,1263,1014,1014,982,1061,920,1092,1077,1404,1045,1934,1014,983,983,936,998,1030,1389,905,1295,1139,952,1123,968,936,983,1076,1061,920
Participant 12,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 12,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 12,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 12,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 12,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 12,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 12,Consistant,Target 1 Accuracy,Correct,,Correct,Correct,,Correct,,Correct,,Correct,,Correct,,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct
Participant 12,Consistant,Target 2 Accuracy,Correct,,Correct,Correct,Correct,Correct,Correct,,,,Correct,Correct,Correct,,Correct,Correct,Correct,,,Correct,,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,
Participant 12,Consistant,Target 3 Accuracy,Correct,Correct,Correct,Correct,Wrong,,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct
Participant 12,Consistant,Target 4 Accuracy,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct
Participant 12,Consistant,Target 5 Accuracy,Correct,Correct,,Wrong,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct
Participant 12,Consistant,Target 6 Accuracy,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Wrong,Correct,,,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,
Participant 12,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 12,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 12,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 12,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 12,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 12,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 122,Consistant,Target 1 Raw Latency,1700,2730,1935,2356,1918,2184,2247,1654,1139,1514,1373,1482,1295,1623,1498,1513,1841,1373,1154,1451,1280,2231,1435,1233,982,1263,1326,1388,1201,2075,1263,2325
Participant 122,Consistant,Target 2 Raw Latency,1887,2216,1825,1669,1654,1653,1950,1825,1233,1279,1295,1295,1731,1279,1310,1607,1045,1108,1467,1529,1107,1373,1264,1123,1123,1513,1139,1124,1326,1139,2293,1155
Participant 122,Consistant,Target 3 Raw Latency,2247,1482,2090,1996,1357,2637,1638,3057,1217,1685,1185,1357,1248,2340,1622,1623,1123,1357,1185,1232,1155,1342,2527,1248,999,1498,1341,1139,1123,1279,1451,1107
Participant 122,Consistant,Target 4 Raw Latency,1591,1701,1887,2637,1763,1545,1638,3042,1138,1342,1294,1311,1528,1638,1513,1311,1060,1264,2590,1076,1373,2356,1544,3058,1545,1092,1155,1747,1248,1576,1201,1872
Participant 122,Consistant,Target 5 Raw Latency,1950,2060,1934,1934,1155,1388,4602,1575,1092,1326,1404,1701,1903,1996,1622,1451,1029,999,1217,1216,2558,1451,1404,3604,1232,1124,1263,1934,1217,1482,2012,1841
Participant 122,Consistant,Target 6 Raw Latency,2090,1669,2824,2605,1389,1716,3448,1482,1092,1467,1232,1311,1202,1248,1404,1388,1108,2605,1311,1014,1826,1731,1638,1263,1108,1450,1373,1342,1232,1514,1513,1404
Participant 122,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 122,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
