participant,block_order,trial_designator,p_c_tt1,p_c_tt2,p_c_tt3,p_c_tt4,p_ic_tt1,p_ic_tt2,p_ic_tt3,p_ic_tt4,t1_c_tt1,t1_c_tt2,t1_c_tt3,t1_c_tt4,t1_ic_tt1,t1_ic_tt2,t1_ic_tt3,t1_ic_tt4,t2_c_tt2,t2_c_tt2,t2_c_tt3,t2_c_tt4,t2_ic_tt2,t2_ic_tt2,t2_ic_tt3,t2_ic_tt4,t3_c_tt3,t3_c_tt2,t3_c_tt3,t3_c_tt4,t3_ic_tt3,t3_ic_tt2,t3_ic_tt3,t3_ic_tt4
Participant 122,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 122,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 122,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 122,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 122,Consistant,Target 1 Accuracy,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct
Participant 122,Consistant,Target 2 Accuracy,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,,Wrong,,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Participant 122,Consistant,Target 3 Accuracy,,Correct,,Correct,Correct,,Correct,,,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,Correct,,,Correct,,Correct,Correct,,Correct,
Participant 122,Consistant,Target 4 Accuracy,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Wrong,,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct
Participant 122,Consistant,Target 5 Accuracy,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,
Participant 122,Consistant,Target 6 Accuracy,Correct,Correct,Correct,,Correct,Correct,,Wrong,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct
Participant 122,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 122,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 122,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 122,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 122,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 122,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 123,Inconsistant,Target 1 Raw Latency,1638,1700,1497,1280,1544,1419,2028,1528,1045,1404,1263,1388,1045,2293,1186,1139,1030,1201,858,1623,1420,1342,1139,1217,842,1108,1903,920,1045,2964,1435,1591
Participant 123,Inconsistant,Target 2 Raw Latency,1778,1139,1482,2137,1607,2215,2091,1685,1201,1825,1388,1170,1186,1482,1202,1420,967,1716,1108,1419,1670,1217,1981,1388,843,983,2090,905,2060,1685,1014,1108
Participant 123,Inconsistant,Target 3 Raw Latency,889,1077,982,1435,1763,2652,2855,2059,920,1201,1420,983,1201,1436,1029,1435,983,982,1623,967,2792,3432,1123,1295,858,795,998,1154,1311,1981,1014,1311
Participant 123,Inconsistant,Target 4 Raw Latency,1029,1919,1840,1732,1638,2137,2075,2574,1248,4992,858,1107,1436,1560,1233,1623,890,936,1669,998,1092,1809,1810,1108,1061,1529,1326,1108,998,1529,1154,1887
Participant 123,Inconsistant,Target 5 Raw Latency,998,2372,3089,1123,1747,1544,2121,1185,1684,1217,1732,3308,1950,1701,2246,2418,904,2277,1420,1762,1030,1186,1482,1435,889,1700,1716,1732,1138,1030,1263,2340
Participant 123,Inconsistant,Target 6 Raw Latency,1061,1450,983,1014,1248,1638,1201,2402,1092,1170,1201,1092,3776,1279,2075,2371,1014,967,2231,967,1420,2294,1872,1497,1076,1045,1201,1981,1560,1201,1076,1529
Participant 123,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 123,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 123,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 123,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 123,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 123,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 123,Inconsistant,Target 1 Accuracy,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,,Correct,,Correct,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct
Participant 123,Inconsistant,Target 2 Accuracy,Correct,,Wrong,Correct,Correct,,Correct,Correct,Correct,Correct,,,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct
Participant 123,Inconsistant,Target 3 Accuracy,,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct
Participant 123,Inconsistant,Target 4 Accuracy,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
Participant 123,Inconsistant,Target 5 Accuracy,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct
Participant 123,Inconsistant,Target 6 Accuracy,Correct,,Correct,Correct,Correct,Correct,Correct,,,Wrong,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,
Participant 123,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 123,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 123,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 123,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 123,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 123,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 127,Consistant,Target 1 Raw Latency,2121,1669,1950,2543,2137,2574,2418,1435,1294,1498,1669,1466,1794,1514,2824,1435,1232,1310,1466,2152,1248,1061,1420,1638,1154,1544,1732,1825,1201,3620,2043,1404
Participant 127,Consistant,Target 2 Raw Latency,6443,1482,1981,1420,1482,2325,2028,2356,1420,1404,1435,1279,1264,1514,1981,1732,2512,1779,1747,1513,1498,1575,1918,1389,1077,1591,1201,1420,2293,1857,1388,1778
Participant 127,Consistant,Target 3 Raw Latency,2106,1778,1482,1357,1919,1904,1591,1591,1279,1388,1794,1748,1388,1092,1560,1404,1372,3541,1716,1903,1622,1934,1264,1092,1232,1342,1622,1357,1669,1638,1872,1435
Participant 127,Consistant,Target 4 Raw Latency,1544,3152,1451,1810,2044,2387,1888,2028,1466,1357,1139,1358,1045,1311,3011,1373,1030,1981,1872,1669,1466,1669,1435,2418,1202,1794,1607,1076,2683,2996,1685,4197
Participant 127,Consistant,Target 5 Raw Latency,2278,1560,1435,1201,1545,2106,1467,1966,1170,1295,1731,1404,1748,2059,1638,1357,2340,2558,2231,1482,1248,1872,1342,2855,1560,1388,1404,1544,1451,2153,1404,1264
Participant 127,Consistant,Target 6 Raw Latency,2200,2777,1388,1965,1545,1872,1794,1513,1123,1513,1279,1201,1857,2387,3432,1575,1279,2511,1888,1966,1420,1763,998,2090,1840,1295,4633,1388,1841,1155,1840,4399
Participant 127,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 127,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 127,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 127,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 127,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 127,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 127,Consistant,Target 1 Accuracy,Correct,,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Wrong,,Correct,Correct,Correct,,Correct,Correct,,,Correct,,Correct,Correct,Correct
Participant 127,Consistant,Target 2 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,,Correct,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,
Participant 127,Consistant,Target 3 Accuracy,,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Wrong,Correct,,Correct,,Correct,Correct
Participant 127,Consistant,Target 4 Accuracy,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,,Correct,,Correct,Correct,,Wrong,,Correct,Correct,Correct,,Wrong,Correct,Correct
Participant 127,Consistant,Target 5 Accuracy,Correct,,Correct,,Correct,,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,,Correct,,,Correct,Correct,,Correct,,Correct,,,Correct
Participant 127,Consistant,Target 6 Accuracy,,Wrong,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,,,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,
Participant 127,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 127,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 127,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 127,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 127,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 127,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 137,Inconsistant,Target 1 Raw Latency,1123,1997,1154,1373,1825,1809,1872,3214,1014,1045,1996,1545,1654,1700,1654,1857,967,1154,1341,1123,1123,1279,1232,1497,1310,1732,889,2902,1170,1154,1404,1779
Participant 137,Inconsistant,Target 2 Raw Latency,1295,1560,1670,1451,1778,1934,1560,2215,983,2465,999,1232,1217,1233,967,1435,1763,1575,1373,1451,2543,1404,2871,1638,1216,1295,952,1030,1077,1232,1388,2621
Participant 137,Inconsistant,Target 3 Raw Latency,1014,1404,1279,1092,2870,1685,1529,2574,1326,1576,1139,1154,1513,1700,1232,1684,1045,1466,1591,1201,1123,1264,1919,3135,1373,1466,1170,1092,1560,1201,1607,1029
Participant 137,Inconsistant,Target 4 Raw Latency,1544,1295,1232,1373,2309,1451,1591,2543,1123,1357,1358,1295,1107,1888,1357,1826,717,1575,2418,2121,1544,1295,2777,1497,1264,1264,952,1201,983,1732,1201,1279
Participant 137,Inconsistant,Target 5 Raw Latency,1341,1669,1045,1185,1482,1763,1622,2137,1107,1311,1404,1592,1357,1919,1139,1669,827,1810,1233,1295,2808,1264,967,1217,1154,1684,1279,1092,1248,1638,1264,1482
Participant 137,Inconsistant,Target 6 Raw Latency,1107,1856,1872,1326,4166,1919,2138,2121,1451,1591,1342,1217,2043,1326,1341,1404,999,1482,1467,1373,1279,1918,1919,1310,1280,1311,1201,983,1451,1311,1498,1560
Participant 137,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 137,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 137,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 137,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 137,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 137,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 137,Inconsistant,Target 1 Accuracy,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Wrong,Correct,,Correct,Correct,,Wrong,,Correct
Participant 137,Inconsistant,Target 2 Accuracy,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Participant 137,Inconsistant,Target 3 Accuracy,,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,,Correct,,,,Correct,Correct,Correct,,Correct,Correct
Participant 137,Inconsistant,Target 4 Accuracy,,Wrong,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,
Participant 137,Inconsistant,Target 5 Accuracy,Correct,Correct,,,Correct,Correct,,Correct,,Correct,Correct,,Correct,,,Correct,Correct,Correct,,,,Correct,,Correct,Correct,Correct,,,Correct,Correct,,Correct
Participant 137,Inconsistant,Target 6 Accuracy,Correct,Correct,Correct,,Correct,Correct,Correct,,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,
Participant 137,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 137,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 137,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 137,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 137,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 137,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 17,Inconsistant,Target 1 Raw Latency,1217,1451,3042,1467,1435,1389,5148,2263,1279,1654,1467,4430,1248,1451,3884,1748,1357,1388,1841,1482,1779,1466,2091,1326,1061,1326,1732,1436,1233,1872,1326,1545
Participant 17,Inconsistant,Target 2 Raw Latency,1279,1482,1794,1435,2948,1732,2574,1342,1014,1123,1154,1342,1123,2044,1389,1466,1372,1107,1155,1373,1794,1841,1701,1279,811,1076,1514,1388,1014,1217,1373,3791
Participant 17,Inconsistant,Target 3 Raw Latency,1342,2324,1420,1513,2403,1404,2106,3432,1076,2715,4025,1202,1233,1170,3198,1685,1155,1607,1342,1124,2028,2106,4493,1544,1249,1310,2091,1467,1919,2762,3136,1404
Participant 17,Inconsistant,Target 4 Raw Latency,1825,1653,3042,2012,1514,1280,3229,1747,1513,1217,6224,3292,1498,1701,3417,2153,1404,1061,1591,1311,1653,4353,1217,1638,1373,1592,1030,687,1233,1155,3822,1389
Participant 17,Inconsistant,Target 5 Raw Latency,1435,1498,1404,4040,1732,2013,1779,1670,1045,1779,1388,1482,1264,1232,2106,1513,1435,1123,1778,1373,1872,5023,1482,1404,1248,1295,1248,1326,1685,1373,2075,1419
Participant 17,Inconsistant,Target 6 Raw Latency,2965,2215,1185,1560,5648,2293,6131,1467,1045,1794,1529,4150,1217,2028,3510,1841,1872,1857,1466,1201,1341,1045,1778,1607,1046,2434,1810,1185,1154,1560,3230,1623
Participant 17,Inconsistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 17,Inconsistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 17,Inconsistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 17,Inconsistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 17,Inconsistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 17,Inconsistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 17,Inconsistant,Target 1 Accuracy,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,,Wrong,
Participant 17,Inconsistant,Target 2 Accuracy,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Wrong,,Correct,,Correct,Correct,,Correct,,Correct
Participant 17,Inconsistant,Target 3 Accuracy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Wrong,Wrong,,Correct,,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Participant 17,Inconsistant,Target 4 Accuracy,Correct,Correct,Correct,,Wrong,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,
Participant 17,Inconsistant,Target 5 Accuracy,Correct,Correct,Correct,Correct,Correct,,,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Wrong,,,Correct
Participant 17,Inconsistant,Target 6 Accuracy,,Correct,Correct,Correct,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,,Correct,Correct,,Correct,Correct,,,Correct,Correct,Correct,,,Correct,Correct
Participant 17,Inconsistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 17,Inconsistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 17,Inconsistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 17,Inconsistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 17,Inconsistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 17,Inconsistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 2,Consistant,Target 1 Raw Latency,1560,1404,1560,2184,2792,4337,1638,1935,1310,2153,1482,1669,1451,2216,3011,2028,1295,1607,1482,1435,1560,1357,4244,1560,1763,1326,1373,3105,2730,2028,1357,1716
Participant 2,Consistant,Target 2 Raw Latency,2496,1341,1888,4337,1638,1606,1654,1748,1404,3775,1513,1950,1529,1404,1685,2137,1404,2044,1638,2621,1654,2091,2028,1794,1294,1700,1716,1482,1731,1669,1404,1748
Participant 2,Consistant,Target 3 Raw Latency,2309,2387,2730,2216,2746,2901,1545,1607,1747,1528,2293,1997,1560,2169,1716,1669,1310,1310,2028,1856,1513,1716,2855,2824,1326,2855,1560,1404,1341,1732,2823,1716
Participant 2,Consistant,Target 4 Raw Latency,1794,2106,1732,1638,1732,1466,1716,1903,1326,2449,2138,3058,2153,1965,2543,1888,1342,2308,2621,1638,1388,1685,1466,2449,1451,2247,1607,1482,1482,1997,2403,2153
Participant 2,Consistant,Target 5 Raw Latency,1560,2262,1654,1857,1498,2184,1575,2309,1841,1404,1701,1716,1592,1545,1857,3057,1420,1467,1623,1779,1497,2605,1669,3229,2106,2262,1607,2075,1466,2075,1545,2465
Participant 2,Consistant,Target 6 Raw Latency,2215,2028,1809,1498,1778,1701,1607,2387,1794,1841,2652,1545,1466,1591,2824,1763,1622,1778,2356,2574,1794,1654,2558,1575,1763,2559,1669,2293,2231,1762,2277,1747
Participant 2,Consistant,Target 7 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 2,Consistant,Target 8 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 2,Consistant,Target 9 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 2,Consistant,Target 10 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 2,Consistant,Target 11 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 2,Consistant,Target 12 Raw Latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participant 2,Consistant,Target 1 Accuracy,Correct,Correct,Wrong,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Wrong,
Participant 2,Consistant,Target 2 Accuracy,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct
Participant 2,Consistant,Target 3 Accuracy,,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct,,Correct,,Correct,,Correct,Correct,,Correct,Correct
Participant 2,Consistant,Target 4 Accuracy,Correct,,Correct,Wrong,,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,
Participant 2,Consistant,Target 5 Accuracy,Correct,,Correct,Correct,,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct
Participant 2,Consistant,Target 6 Accuracy,Correct,Correct,Correct,,Correct,Correct,,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,,Correct,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct
Participant 2,Consistant,Target 7 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 2,Consistant,Target 8 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 2,Consistant,Target 9 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 2,Consistant,Target 10 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 2,Consistant,Target 11 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 2,Consistant,Target 12 Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 22,Consistant,Target 1 Raw Latency,7285,2184,1888,1186,1404,3042,1498,1981,1170,1295,1420,1591,1966,2230,2075,1482,1623,1607,1654,1357,1311,1280,1497,1825,983,2886,1856,1280,2091,2247,2449,1857
Participant 22,Consistant,Target 2 Raw Latency,1233,1763,2621,1950,1794,2247,2246,1653,1060,1060,1919,1810,2839,2403,2059,2231,1014,1372,1279,1950,2574,1685,1451,1529,1450,2512,1857,1685,1544,1513,3261,2169
Participant 22,Consistant,Target 3 Raw Latency,3510,1810,1669,1763,3058,1997,1762,1701,1201,2044,1357,1279,1467,2075,1810,1357,1217,1077,1701,1014,1825,1872,1623,1716,3042,1810,1341,1357,1389,2808,2465,2013
Participant 22,Consistant,Target 4 Raw Latency,1419,1685,1591,1997,1263,1856,1124,1513,1341,1763,1092,1388,1420,1669,1763,2433,983,2449,1342,2013,2730,1591,1685,1092,1154,1342,2715,2106,1155,2122,1077,1373
Participant 22,Consistant,Target 5 Raw Latency,1373,2012,1482,2808,1638,1856,1513,1560,2215,1170,1341,1685,1513,1965,1155,2028,1061,2761,1451,1357,2761,2371,1623,1670,1170,1748,1357,1217,1311,1950,1326,1357
