1,"Participant 24TF","Consistant","Target 1 Raw Latency",1217,1170,1155,1326,967,1669,1294,1233,967,1373,1201,1248,1076,1778,2028,1623,1123,1560,1575,1482,1107,1435,1186,1872,952,1497,1061,1342,1076,1809,1029,1591
1,"Participant 24TF","Consistant","Target 2 Raw Latency",983,2714,1684,1388,1435,2122,1934,1279,873,1310,1185,1185,1045,1716,1326,1435,873,1466,1108,1201,1076,1513,1420,1872,1076,1326,1108,1575,1092,1887,1482,1201
1,"Participant 24TF","Consistant","Target 3 Raw Latency",2527,1372,1170,1560,1451,3370,1497,2028,1045,983,1419,1388,1294,1545,1357,1373,858,1264,1060,1045,1404,1669,1700,1700,1170,1264,1342,1170,1201,1466,1388,1607
1,"Participant 24TF","Consistant","Target 4 Raw Latency",920,1748,1185,1623,1030,1498,952,1482,1030,998,1670,1607,983,2278,1294,1685,920,1310,1311,1170,1513,1623,1357,1622,1108,2262,1201,1576,1232,2387,1248,1857
1,"Participant 24TF","Consistant","Target 5 Raw Latency",889,1170,1248,2699,1466,1560,1138,1950,1123,2153,1217,1201,1342,1482,1451,1107,998,1513,1029,1061,1779,1482,1514,2246,1107,1965,1232,1669,1310,1466,1310,1342
1,"Participant 24TF","Consistant","Target 6 Raw Latency",905,1560,1092,1934,1186,1311,1779,2621,968,1622,1123,1357,983,1419,1436,1248,1170,1326,1607,1108,1326,1653,3479,1388,1295,1202,1232,1887,1373,1342,1560,1419
1,"Participant 24TF","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 24TF","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 24TF","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 24TF","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 24TF","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 24TF","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 24TF","Consistant","Target 1 Accuracy","Correct","Correct","Correct",,"Correct","Correct",,,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Wrong","Correct","Correct","Correct",,"Correct","Correct",,
1,"Participant 24TF","Consistant","Target 2 Accuracy","Correct",,,"Correct","Correct",,"Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,,"Correct","Correct",,"Correct",
1,"Participant 24TF","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,"Wrong",,,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct",,,"Correct"
1,"Participant 24TF","Consistant","Target 4 Accuracy",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct",,"Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct"
1,"Participant 24TF","Consistant","Target 5 Accuracy","Correct","Correct","Correct","Correct","Correct",,"Wrong","Wrong","Correct","Correct",,,,"Wrong","Correct","Correct",,"Correct","Correct","Correct","Wrong",,"Correct","Correct","Correct","Wrong","Correct","Correct","Correct",,"Correct","Correct"
1,"Participant 24TF","Consistant","Target 6 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Wrong","Correct","Correct","Correct",,,,,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Wrong","Correct",
1,"Participant 24TF","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 24TF","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 24TF","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 24TF","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 24TF","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 24TF","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
