1,"Participant 11TF","Consistant","Target 1 Raw Latency",1250,2031,1234,1437,1266,2000,1453,1687,1313,1141,1031,1172,1187,1828,1625,2469,1125,3141,2829,1140,1219,2734,1657,1797,1109,1454,1297,1641,2344,1390,1875,1187
1,"Participant 11TF","Consistant","Target 2 Raw Latency",1391,1813,1219,1859,1907,3031,2594,1203,1609,1359,2266,2765,1187,1297,1312,2000,1078,1218,1281,1938,1906,1437,2250,2375,1469,1125,1250,1203,1140,1234,1359,1422
1,"Participant 11TF","Consistant","Target 3 Raw Latency",1734,1156,3375,1579,1000,1719,3610,1906,1157,1656,2469,2313,2468,1110,2031,1563,1156,1344,1719,1406,1890,3171,1578,1578,1391,1016,2000,1266,1203,1688,2031,1734
1,"Participant 11TF","Consistant","Target 4 Raw Latency",1297,1563,1657,1000,1281,2062,1406,1078,1782,1140,1063,1266,1969,1766,1063,2594,1109,1750,1406,1157,1703,1907,1265,2890,1281,1437,1328,1172,1094,1782,1984,1422
1,"Participant 11TF","Consistant","Target 5 Raw Latency",1141,1390,1313,1344,3453,1875,1453,1625,1218,1640,1469,1188,1953,3031,1719,2593,1594,1188,1875,1829,2359,1281,1421,1843,1391,1782,2500,1235,1125,1875,1734,1313
1,"Participant 11TF","Consistant","Target 6 Raw Latency",1766,1250,1281,1625,953,2016,1641,1500,1016,1046,1609,1657,1359,1750,1329,1454,1015,1500,1422,1515,1265,3094,1984,2718,1235,1797,1656,1063,1062,1500,1937,1469
1,"Participant 11TF","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 11TF","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 11TF","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 11TF","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 11TF","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 11TF","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 11TF","Consistant","Target 1 Accuracy",,"Correct","Wrong",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 11TF","Consistant","Target 2 Accuracy","Correct","Correct",,"Correct","Correct",,"Wrong","Wrong",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 11TF","Consistant","Target 3 Accuracy","Correct","Correct","Correct","Correct","Correct","Wrong","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",
1,"Participant 11TF","Consistant","Target 4 Accuracy","Correct","Correct","Correct",,,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct",,,,"Correct","Correct"
1,"Participant 11TF","Consistant","Target 5 Accuracy","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,,,"Wrong","Correct",,"Wrong","Correct",,,"Correct",,"Correct","Correct",,"Correct","Correct","Correct"
1,"Participant 11TF","Consistant","Target 6 Accuracy","Correct",,"Correct","Correct","Correct","Wrong","Correct",,"Correct",,"Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct",,"Wrong","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Wrong",
1,"Participant 11TF","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 11TF","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 11TF","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 11TF","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 11TF","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 11TF","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
