1,"Participant 9TF","Consistant","Target 1 Raw Latency",1282,1328,2907,1813,3000,2125,2032,2094,1047,2859,1375,1688,1812,1985,2047,1625,1282,1297,1078,2453,1828,1828,2515,2953,1422,1688,1625,1781,1422,1672,1953,1671
1,"Participant 9TF","Consistant","Target 2 Raw Latency",1579,1703,1531,1141,1578,1281,1812,1641,2110,1703,1719,1750,1344,3390,1594,1984,1047,1922,1688,1578,2109,3250,7641,1593,1141,4782,3000,1438,2375,1328,5562,1218
1,"Participant 9TF","Consistant","Target 3 Raw Latency",2609,1437,1734,2219,1328,2141,1797,1657,1187,2547,1688,1219,1656,2281,2844,1563,1703,1860,1766,1016,1375,1468,2797,1484,1391,3703,3219,1265,1484,2860,3016,4421
1,"Participant 9TF","Consistant","Target 4 Raw Latency",1891,1640,1328,2265,1282,2609,1719,1750,1500,1953,1547,1532,1313,2578,1922,1938,1047,1735,1250,1594,3906,2531,2859,1921,1703,1343,2438,1562,1406,2406,1344,4969
1,"Participant 9TF","Consistant","Target 5 Raw Latency",1391,2110,984,1625,1485,2047,4875,1437,1641,1813,1500,2406,1828,1578,2641,3375,1203,2141,2812,1984,2359,3781,844,2531,1360,1125,1641,1562,1484,1656,1328,2297
1,"Participant 9TF","Consistant","Target 6 Raw Latency",1750,1562,2047,1485,1469,3172,2093,2656,1265,1875,1703,2157,1578,3078,1359,1734,1062,1109,1562,1766,1282,2625,1453,4219,1344,1562,1594,1250,2407,4406,1297,2344
1,"Participant 9TF","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 9TF","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 9TF","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 9TF","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 9TF","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 9TF","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 9TF","Consistant","Target 1 Accuracy","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct"
1,"Participant 9TF","Consistant","Target 2 Accuracy",,"Correct",,"Correct",,"Correct","Correct",,,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct",
1,"Participant 9TF","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,"Correct","Wrong","Correct",,,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Wrong","Correct",
1,"Participant 9TF","Consistant","Target 4 Accuracy","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Wrong",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,"Wrong"
1,"Participant 9TF","Consistant","Target 5 Accuracy","Correct",,,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct",,,"Wrong","Correct","Correct","Correct",,,"Correct",,"Correct","Correct","Correct"
1,"Participant 9TF","Consistant","Target 6 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct",,,"Correct",,"Wrong","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 9TF","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 9TF","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 9TF","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 9TF","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 9TF","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 9TF","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
