1,"Participant 8","Consistant","Target 1 Raw Latency",1341,2605,2122,1841,1685,2824,1529,1123,1497,2028,3027,1731,1498,2371,1732,1794,1060,1950,1326,1092,2137,2090,1731,2121,1233,1233,1389,2325,1451,3495,1622,3822
1,"Participant 8","Consistant","Target 2 Raw Latency",1341,1981,1497,1295,1513,2434,1389,1248,1357,1451,2121,2075,2059,1622,1373,1170,1934,1139,1654,1341,967,2013,1981,2465,1232,1606,1732,2621,1373,1217,2294,4119
1,"Participant 8","Consistant","Target 3 Raw Latency",3058,1965,2231,1498,2262,2824,3339,2122,1404,1061,1966,1404,1700,2403,1294,2247,1138,1497,1607,1139,1731,1592,1903,1217,1529,1372,1248,1186,1653,1077,1342,1263
1,"Participant 8","Consistant","Target 4 Raw Latency",967,1201,1638,1950,1482,2948,2075,4072,1263,3182,1217,1107,2215,2917,1732,2340,1311,1186,1388,1638,3089,1092,1841,2902,1170,2044,1233,1451,1076,2543,1404,1108
1,"Participant 8","Consistant","Target 5 Raw Latency",1217,1653,936,1497,2403,1779,1186,3822,1077,1731,1996,1061,1202,1762,1451,1326,1326,1748,1139,1981,1544,1747,2527,1061,1201,1232,1185,1107,2668,2605,1357,1311
1,"Participant 8","Consistant","Target 6 Raw Latency",2543,1342,2106,1295,1622,1092,1170,2013,1419,1389,1466,1327,1045,1295,1653,1264,951,1388,1310,1201,1513,2231,1841,1217,1124,1248,1310,1685,1358,1826,6006,1420
1,"Participant 8","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 8","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 8","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 8","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 8","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 8","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 8","Consistant","Target 1 Accuracy","Correct","Correct",,"Correct","Correct","Correct","Wrong",,"Correct",,,"Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",
1,"Participant 8","Consistant","Target 2 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct",,,"Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct","Wrong",
1,"Participant 8","Consistant","Target 3 Accuracy","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Correct","Correct","Correct",,"Wrong","Correct","Correct","Correct"
1,"Participant 8","Consistant","Target 4 Accuracy",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,,"Correct",,"Correct",,"Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct"
1,"Participant 8","Consistant","Target 5 Accuracy","Correct",,"Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct",,,"Correct",,"Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct"
1,"Participant 8","Consistant","Target 6 Accuracy","Correct","Correct",,"Correct",,"Correct","Correct","Correct",,"Correct","Correct",,,,"Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct"
1,"Participant 8","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 8","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 8","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 8","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 8","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 8","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
