participant,rule,block_order,test_block_accuracy,test_block_mean_latency,D_tt1_screened,D_tt2_screened,D_tt3_screened,D_tt4_screened,single_block_pair_excluded,whole_task_excluded
102,full,con,0.97,1910.41,0.31,0.61,0.11,0.39,0,0
107,full,incon,0.98,1889.51,0.98,-0.07,-0.19,0.29,1,0
112,full,con,0.98,1370.65,0.27,-0.03,-0.35,-0.25,0,0
117,full,incon,0.98,2273.88,NA,NA,NA,NA,0,1
12,full,con,0.98,1082.56,0.77,0.04,-0.28,0.26,0,0
122,full,con,0.98,1452.67,0.8,0.68,0.9,0.58,0,0
123,full,incon,0.97,1452.65,1.01,0.43,-0.13,0.39,0,0
127,full,con,0.93,1711,0.47,0.24,-0.12,0.52,0,0
137,full,incon,0.98,1444.41,0.65,-0.21,0.57,0.72,0,0
17,full,incon,0.95,1755.13,0.85,0.34,0.63,0.33,0,0
2,full,con,0.99,1903.13,0.6,-0.33,0.68,0.18,0,0
22,full,con,0.97,1793.1,1.17,0.54,0.55,0.46,1,0
27,full,incon,0.9,1932.71,NA,NA,NA,NA,0,1
32,full,con,0.96,1624.9,0.46,-0.06,0.2,0.11,0,0
37,full,incon,0.97,1745.77,0.14,-0.53,-0.55,-0.16,0,0
42,full,con,0.93,2339.38,NA,NA,NA,NA,0,1
47,full,incon,0.95,1517.35,0.16,0.34,0.5,0.45,0,0
57,full,incon,0.98,1618.19,0.91,0.58,-0.43,0.41,0,0
62,full,con,1,1777.25,0.55,-0.39,-0.26,0.51,0,0
7,full,incon,0.97,1947.99,0.48,-0.14,-0.35,0.55,1,0
72,full,con,0.99,1600.96,-0.12,-0.02,-0.03,-0.15,0,0
77,full,incon,0.95,2281.44,NA,NA,NA,NA,0,1
87,full,incon,0.98,1615.43,0.02,-0.08,-0.4,-0.02,0,0
92,full,con,0.95,1579.35,0.84,0.46,0.08,0.19,0,0
97,full,incon,0.94,1636.89,0.44,0.08,-0.3,0.58,0,0
105,minimal,incon,0.93,1739.12,0.24,0.78,0.25,0.41,0,0
110,minimal,incon,0.99,1509.81,0.38,0.04,0.28,0.58,0,0
115,minimal,con,0.94,1560.54,0.39,-0.29,0.09,0.05,0,0
120,minimal,incon,0.95,1648.13,0.23,0.46,0.72,0.65,0,0
125,minimal,con,0.89,1741.88,0.55,-0.16,-0.23,0.24,0,0
130,minimal,incon,0.98,1253.53,0.91,0.14,0.1,0.22,0,0
135,minimal,con,0.96,1603.79,0.51,0.34,0.05,0.75,0,0
140,minimal,incon,0.95,1729.61,0.63,0.42,0.68,0.13,0,0
145,minimal,con,0.93,1794.83,0.86,0.28,-0.4,-0.25,0,0
150,minimal,incon,0.99,1441.49,1.02,0.22,0.54,0.07,0,0
156,minimal,con,0.93,1816.38,1.08,0.35,-0.18,0.38,0,0
160,minimal,incon,0.95,1966.31,-0.44,1.01,0.34,0.99,1,0
165,minimal,con,1,1541.08,0.15,0.04,0.13,0.13,0,0
170,minimal,incon,0.97,1794.52,0.34,0.31,0,0.35,0,0
175,minimal,con,0.97,1419.49,0.82,0.25,-0.06,0.61,0,0
185,minimal,con,0.9,2157.62,NA,NA,NA,NA,0,1
195,minimal,incon,0.96,1535.08,0.91,0.71,0.69,0.85,0,0
25,minimal,con,0.96,1791.68,0.29,0.25,-0.28,-0.23,0,0
35,minimal,con,0.97,2003.74,-0.02,0.43,0.33,0.85,0,0
40,minimal,incon,0.95,2033.74,0.81,0.59,0.13,0.57,1,0
5,minimal,con,0.96,1823.67,0.12,0.21,-0.15,0.43,0,0
50,minimal,incon,0.95,1877.17,0.27,0.71,0.44,-0.13,0,0
65,minimal,con,0.96,2302.67,0,0.34,-0.73,0.35,1,0
70,minimal,incon,0.94,1615.77,0.1,0.6,0.12,-0.02,0,0
75,minimal,con,0.9,1763.55,0.35,0.09,0.12,0.79,0,0
80,minimal,incon,0.9,1939.87,NA,NA,NA,NA,0,1
85,minimal,con,0.98,1901.96,0.5,0.1,0.12,0.96,0,0
95,minimal,con,0.97,1746.67,0.53,-0.05,-0.06,0.76,0,0
